"code_hex","spec_name","table31_write","table31_read","table31_data_bytes","gui_status","gui_name","gui_preferred_protocol","gui_decode_format","bridge_transport_status","device_model_status","device_model_name","device_model_note","product_binding_status","validation_status","notes"
"0x00","PAGE","Write Byte","Read Byte","1","Preset","PAGE","WriteByte","RawByte","TransportReady","Implemented","PAGE","Config shadow","ImplementedBehavior","Documented","Current page byte"
"0x01","OPERATION","Write Byte","Read Byte","1","Preset","OPERATION","WriteByte","RawByte","TransportReady","Implemented","OPERATION","Config shadow","ImplementedBehavior","Documented","Operation byte; bit7 drives STATUS_BYTE.OFF summary"
"0x02","ON_OFF_CONFIG","Write Byte","Read Byte","1","Preset","ON_OFF_CONFIG","ReadByte","RawByte","TransportReady","Implemented","ON_OFF_CONFIG","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","On/off policy byte"
"0x03","CLEAR_FAULTS","Send Byte","N/A","0","Preset","CLEAR_FAULTS","SendByte","None","TransportReady","Implemented","CLEAR_FAULTS","Status shadow","ImplementedBehavior","Documented","Clears latched fault bits and CML source"
"0x04","PHASE","Write Byte","Read Byte","1","Preset","PHASE","WriteByte","RawByte","TransportReady","Implemented","PHASE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Current phase selector shadow"
"0x05","PAGE_PLUS_WRITE","Block Write","N/A","Variable","Preset","PAGE_PLUS_WRITE","BlockWrite","RawBlock","TransportReady","Implemented","PAGE_PLUS_WRITE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Page-qualified write wrapper; reuses the target command handler and stores last page/target/payload. TODO: bind to real multi-page rails before product use"
"0x06","PAGE_PLUS_READ","N/A","Block Write-Read Process Call","Variable","Preset","PAGE_PLUS_READ","BlockWriteReadProcessCall","RawBlock","TransportReady","Implemented","PAGE_PLUS_READ","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","Page-qualified read wrapper; returns target byte/word/dword/block response as a block payload. TODO: bind to real multi-page rails before product use"
"0x07","ZONE_CONFIG","Write Word","Read Word","2","Preset","ZONE_CONFIG","WriteWord","RawWord","TransportReady","Implemented","ZONE_CONFIG","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","16-bit zone configuration shadow"
"0x08","ZONE_ACTIVE","Write Word","Read Word","2","Preset","ZONE_ACTIVE","WriteWord","RawWord","TransportReady","Implemented","ZONE_ACTIVE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","16-bit active-zone state shadow"
"0x10","WRITE_PROTECT","Write Byte","Read Byte","1","Preset","WRITE_PROTECT","WriteByte","RawByte","TransportReady","Implemented","WRITE_PROTECT","Config shadow","ImplementedBehavior","Documented","Write-protect byte; non-zero locks writable command handlers except WRITE_PROTECT and CLEAR_FAULTS"
"0x11","STORE_DEFAULT_ALL","Send Byte","N/A","0","Preset","STORE_DEFAULT_ALL","SendByte","None","TransportReady","Implemented","STORE_DEFAULT_ALL","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","ACKs and records the store/restore request only. TODO: connect to product NVM with wear/error policy"
"0x12","RESTORE_DEFAULT_ALL","Send Byte","N/A","0","Preset","RESTORE_DEFAULT_ALL","SendByte","None","TransportReady","Implemented","RESTORE_DEFAULT_ALL","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","ACKs and records the store/restore request only. TODO: connect to product NVM with wear/error policy"
"0x13","STORE_DEFAULT_CODE","Write Byte","N/A","1","Preset","STORE_DEFAULT_CODE","WriteByte","RawByte","TransportReady","Implemented","STORE_DEFAULT_CODE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","ACKs and records the requested code only. TODO: connect to product NVM with wear/error policy"
"0x14","RESTORE_DEFAULT_CODE","Write Byte","N/A","1","Preset","RESTORE_DEFAULT_CODE","WriteByte","RawByte","TransportReady","Implemented","RESTORE_DEFAULT_CODE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","ACKs and records the requested code only. TODO: connect to product NVM with wear/error policy"
"0x15","STORE_USER_ALL","Send Byte","N/A","0","Preset","STORE_USER_ALL","SendByte","None","TransportReady","Implemented","STORE_USER_ALL","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","ACKs and records the store/restore request only. TODO: connect to product NVM with wear/error policy"
"0x16","RESTORE_USER_ALL","Send Byte","N/A","0","Preset","RESTORE_USER_ALL","SendByte","None","TransportReady","Implemented","RESTORE_USER_ALL","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","ACKs and records the store/restore request only. TODO: connect to product NVM with wear/error policy"
"0x17","STORE_USER_CODE","Write Byte","N/A","1","Preset","STORE_USER_CODE","WriteByte","RawByte","TransportReady","Implemented","STORE_USER_CODE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","ACKs and records the requested code only. TODO: connect to product NVM with wear/error policy"
"0x18","RESTORE_USER_CODE","Write Byte","N/A","1","Preset","RESTORE_USER_CODE","WriteByte","RawByte","TransportReady","Implemented","RESTORE_USER_CODE","Config shadow","HostVisibleShadowOrPlaceholder","HostVisibleOnly","ACKs and records the requested code only. TODO: connect to product NVM with wear/error policy"
